,question,answer
891,What has happened to the land under permanent pasture in India?,The land under permanent pasture has decreased.
892,How do we feed the huge cattle population given the decrease in pasture land?,"The text does not provide a specific answer, but implies that there are consequences to feeding the cattle population on reduced pasture land."
893,What are the consequences of the decrease in permanent pasture land?,"The text suggests there are consequences, but does not specify them."
894,What is the source of the data regarding land use in India?,"The source of the data is the Directorate of Economics and Statistics, Ministry of Agriculture, 2017."
895,What years are compared in the analysis of changes in net sown area and forest land?,The years compared are 1960-61 and 2014-15.
896,What is the implication of the marginal change in net sown area and land under forests from 1960-61 to 2014-15?,"The text suggests that the changes are very marginal, indicating limited progress or stability in these areas."
897,What is the main reason for the low proportion of net sown area in certain states?,"The text prompts to find reasons for the low proportion, but does not provide specific reasons."
898,What type of lands are considered other than current fallow lands?,Most of the other lands are either of poor quality or the cost of cultivation is high.
899,What is the significance of the net sown area in agricultural planning?,"The text does not explicitly state the significance, but implies it is important for understanding agricultural productivity."
900,What are the challenges faced in land use reporting in India?,Challenges include incomplete reporting in north-east states and areas occupied by Pakistan and China.
901,What does the data suggest about the ecological balance in India?,"The data suggests that the current forest area is far lower than desired, which could impact ecological balance."
902,What is the relationship between forest area and livelihood mentioned in the context?,The livelihood of millions of people who live on the land is dependent on maintaining adequate forest areas.
903,What is the impact of continuous land use without conservation measures?,"It has resulted in land degradation, which has serious repercussions on society and the environment."
904,"What percentage of basic needs for food, shelter, and clothing is obtained from land?",Ninety-five percent.
905,What are some human activities that contribute to land degradation?,"Deforestation, overgrazing, mining, and quarrying."
906,What happens to mining sites after excavation work is complete?,"They are abandoned, leaving deep scars and traces of over-burdening."
907,Which states in India are mentioned as experiencing severe land degradation due to deforestation from mining?,"Jharkhand, Chhattisgarh, Madhya Pradesh, and Odisha."
908,"What is one of the main reasons for land degradation in Gujarat, Rajasthan, Madhya Pradesh, and Maharashtra?",Overgrazing.
909,In which states is over-irrigation responsible for land degradation due to water logging?,"Punjab, Haryana, and western Uttar Pradesh."
910,What is the consequence of industrial processes like grinding limestone for the cement industry?,"They generate huge quantities of dust in the atmosphere, which retards the process of water infiltration into the soil."
911,What has become a major source of land and water pollution in many parts of the country?,Industrial effluents as waste.
912,What are some methods to check land degradation in arid areas?,"Afforestation, proper management of grazing, planting shelter belts of plants, and stabilisation of sand dunes."
913,What can reduce land and water degradation in industrial and suburban areas?,"Proper management of waste lands, control of mining activities, and proper discharge and disposal of industrial effluents."
914,Why is soil considered the most important renewable natural resource?,It is the medium of plant growth and supports different types of living organisms on the earth.
915,How long does it take to form soil up to a few centimeters in depth?,Millions of years.
916,What are the important factors in the formation of soil?,"Relief, parent rock or bed rock, climate, vegetation, and other forms of life and time."
917,What natural forces contribute to the formation of soil?,"Change in temperature, actions of running water, wind, glaciers, and activities of decomposers."
918,What is the top layer of soil referred to as?,Top soil.
919,What is the significance of the soil profile diagram mentioned in the context?,"It illustrates the different layers of soil, including top soil, subsoil, substratum, and unweathered parent bed rock."
920,What is the role of decomposers in soil formation?,They contribute to the chemical and organic changes that take place in the soil.
921,What is the effect of over-irrigation on soil?,It leads to an increase in salinity and alkalinity in the soil.
922,What is the relationship between human activities and natural forces regarding land degradation?,Human activities have aggravated the pace of natural forces to cause damage to land.
923,What are the two main components of soil?,Soil consists of organic (humus) and inorganic materials.
924,What factors are used to classify the soils of India?,"The soils of India are classified based on factors such as colour, thickness, texture, age, chemical and physical properties."
925,What is the most widely spread and important type of soil in India?,Alluvial soil is the most widely spread and important type of soil in India.
926,Which river systems are responsible for the deposition of alluvial soil in northern plains?,"The Indus, the Ganga, and the Brahmaputra river systems are responsible for the deposition of alluvial soil in northern plains."
927,In which areas of India is alluvial soil found apart from northern plains?,"Alluvial soil is also found in Rajasthan and Gujarat through a narrow corridor, and in the eastern coastal plains particularly in the deltas of the Mahanadi, Godavari, Krishna, and Kaveri rivers."
928,What crops are ideally grown in alluvial soil?,"Alluvial soil is ideal for the growth of sugarcane, paddy, wheat, and other cereal and pulse crops."
929,How does the fertility of alluvial soil affect population density in those regions?,"Due to its high fertility, regions of alluvial soils are intensively cultivated and densely populated."
930,What is the characteristic color of black soil?,Black soil is black in color.
931,What is another name for black soil?,Black soil is also known as regur soil.
932,What type of crops is black soil ideal for growing?,Black soil is ideal for growing cotton.
933,What geological feature is associated with the formation of black soil?,Black soil is typical of the Deccan trap (Basalt) region.
934,In which Indian states is black soil primarily found?,"Black soil covers the plateaus of Maharashtra, Saurashtra, Malwa, Madhya Pradesh, and Chhattisgarh."
935,What is the texture of black soil?,"Black soil is made up of extremely fine, clayey material."
936,What is a key nutrient characteristic of black soil?,"Black soil is rich in soil nutrients such as calcium carbonate, magnesium, potash, and lime."
937,How are alluvial soils classified based on their age?,Alluvial soils can be classified as old alluvial (Bangar) and new alluvial (Khadar).
938,What is the difference between Bangar and Khadar soils?,"Bangar soil has a higher concentration of kanker nodules and is older, while Khadar soil has more fine particles and is more fertile."
939,What happens to soil particle size as one moves inland towards river valleys?,"As one moves inland towards river valleys, soil particles appear somewhat bigger in size."
940,"What type of soils are more common in piedmont plains such as Duars, Chos, and Terai?","Coarse soils are more common in piedmont plains such as Duars, Chos, and Terai."
941,What is the moisture retention capacity of black soil?,Black soil is well-known for its capacity to hold moisture.
942,What is the significance of the soil nutrients found in black soil?,"The soil nutrients in black soil, such as calcium carbonate, magnesium, potash, and lime, contribute to its fertility and suitability for agriculture."
943,What is the title of the document?,CONTEMPORARY INDIA – II
944,What is the main subject of the document?,India: Major Soil Types
945,What is the reprint year mentioned in the document?,2024-25
946,Is the document focused on historical or contemporary topics?,Contemporary topics.
947,How many major soil types are discussed in the document?,The document discusses major soil types in India.
948,What educational level is the document likely aimed at?,It is likely aimed at students studying contemporary India.
949,Does the document provide information on agricultural practices?,The document may provide information related to soil types which can influence agricultural practices.
950,Is the document a primary or secondary source?,The document is likely a secondary source.
951,What geographical area does the document focus on?,The document focuses on India.
952,What is the significance of soil types in India as mentioned in the document?,Soil types are significant for agriculture and environmental studies.
953,Are there any illustrations or maps included in the document?,The context does not specify if there are illustrations or maps.
954,What kind of research might the document support?,"The document might support research in agriculture, ecology, and geography."
955,Is the document likely to include case studies or examples?,"The context does not specify, but it may include examples of soil types."
956,What is the purpose of the document?,The purpose is to educate about major soil types in India.
957,Who is the intended audience for the document?,The intended audience is likely students and educators.
958,What format is the document likely in?,The document is likely in a printed or digital format.
959,Does the document mention any specific soil types?,The context does not specify any specific soil types.
960,Is the document part of a series or standalone?,The context suggests it is part of a series on contemporary India.
961,What year was the document originally published?,The context does not provide the original publication year.
962,Does the document address environmental issues related to soil?,"The context does not specify, but it may address related environmental issues."
963,What educational curriculum might the document be a part of?,It might be part of an educational curriculum on geography or environmental science.
964,What is a characteristic of soils during hot weather?,"Soils develop deep cracks during hot weather, which helps in the proper aeration of the soil."
965,What happens to soils when they are wet?,These soils are sticky when wet and difficult to work on unless tilled immediately after the first shower or during the pre-monsoon period.
966,Where does red soil develop?,Red soil develops on crystalline igneous rocks in areas of low rainfall in the eastern and southern parts of the Deccan plateau.
967,What causes the reddish color in red and yellow soils?,These soils develop a reddish colour due to diffusion of iron in crystalline and metamorphic rocks.
968,What is the origin of the word 'laterite'?,Laterite has been derived from the Latin word ‘later’ which means brick.
969,What climate is necessary for the development of laterite soil?,Laterite soil develops under tropical and subtropical climate with alternate wet and dry seasons.
970,What is a major characteristic of lateritic soils?,"Lateritic soils are mostly deep to very deep, acidic (pH<6.0), and generally deficient in plant nutrients."
971,In which regions are lateritic soils predominantly found?,"Lateritic soils occur mostly in southern states, Western Ghats region of Maharashtra, Odisha, some parts of West Bengal and North-east regions."
972,What is the effect of vegetation on the humus content of lateritic soils?,"Where these soils support deciduous and evergreen forests, it is humus rich, but under sparse vegetation and in semi-arid environments, it is generally humus poor."
973,"What crops are suitable for red laterite soils in Tamil Nadu, Andhra Pradesh, and Kerala?",Red laterite soils in these regions are more suitable for crops like cashew nut.
974,What is the texture and color range of arid soils?,Arid soils range from red to brown in colour and are generally sandy in texture.
975,What is a significant issue with arid soils due to their climate?,The soil lacks humus and moisture due to the dry climate and high evaporation rates.
976,What is the Kankar layer in arid soils?,The Kankar layer formations in the bottom horizons restrict the infiltration of water.
977,How can arid soils become cultivable?,"After proper irrigation, these soils become cultivable, as has been the case in western Rajasthan."
978,Where are forest soils primarily found?,Forest soils are found in the hilly and mountainous areas where sufficient rainforests are available.
979,How does the texture of forest soils vary?,The soil texture varies according to the mountain environment where they are formed; they are loamy and silty in valley sides and coarse grained in the upper slopes.
980,What is a common feature of forest soils in snow-covered areas?,"The texture of forest soils in snow-covered areas can vary, but they are generally loamy and silty."
981,What is the effect of heavy rain on laterite soil?,Laterite soil is the result of intense leaching due to heavy rain.
982,What are the conditions that lead to the formation of arid soils?,Arid soils form in dry climates with high temperatures and fast evaporation.
983,What type of vegetation can lateritic soils support?,Lateritic soils can support deciduous and evergreen forests.
984,What happens to lateritic soils under sparse vegetation?,"Under sparse vegetation and in semi-arid environments, lateritic soils are generally humus poor."
985,What is soil erosion?,Soil erosion is the denudation of the soil cover and subsequent washing down.
986,What factors can disturb the balance between soil formation and erosion?,"Human activities like deforestation, over-grazing, construction, and mining can disturb the balance."
987,What natural forces contribute to soil erosion?,"Natural forces like wind, glaciers, and water lead to soil erosion."
988,What happens to clayey soils during soil erosion?,Running water cuts through clayey soils and makes deep channels known as gullies.
989,What is referred to as 'bad land'?,Land that becomes unfit for cultivation due to soil erosion is known as bad land.
990,What are ravines in the context of soil erosion?,"In the Chambal basin, lands that are unfit for cultivation due to soil erosion are called ravines."
991,What is sheet erosion?,"Sheet erosion occurs when water flows as a sheet over large areas down a slope, washing away the top soil."
992,What is wind erosion?,Wind erosion is the process where wind blows loose soil off flat or sloping land.
993,How can defective farming methods cause soil erosion?,"Ploughing in a wrong way, such as up and down the slope, forms channels for quick water flow leading to soil erosion."
994,What is contour ploughing?,Contour ploughing is the practice of ploughing along the contour lines to decelerate the flow of water down the slopes.
995,How does terrace cultivation help in soil conservation?,Terrace cultivation restricts erosion by cutting steps out on the slopes.
996,Where is terrace farming well developed?,Terrace farming is well developed in the western and central Himalayas.
997,What is strip cropping?,Strip cropping is a method where large fields are divided into strips with grass left to grow between the crops.
998,How does strip cropping help in soil conservation?,"Strip cropping breaks up the force of the wind, reducing soil erosion."
999,What are shelter belts?,Shelter belts are rows of trees planted to create shelter that helps in stabilizing sand dunes and deserts.
1000,How have shelter belts contributed to soil conservation?,Shelter belts have significantly contributed to the stabilization of sand dunes and in stabilizing the desert in western India.
1001,What is the impact of over-grazing on soil?,"Over-grazing can disturb the balance between soil formation and erosion, leading to increased soil erosion."
1002,What is the role of construction in soil erosion?,Construction activities can disturb the soil cover and contribute to soil erosion.
1003,What is the effect of glaciers on soil erosion?,Glaciers are one of the natural forces that contribute to soil erosion.
1004,What is the relationship between soil formation and erosion?,The processes of soil formation and erosion go on simultaneously and generally maintain a balance.
